Date,Tavg,RH_avg,RR,ss,ff_avg
01/05/2023,30,74,0,6.1,3
02/05/2023,29.9,77,,8.7,3
03/05/2023,29.4,80,,10,2
04/05/2023,28.6,83,10,9.1,2
05/05/2023,28.2,85,0,4.6,2
06/05/2023,28.4,83,56,5,3
07/05/2023,28.2,84,5,4.7,3
08/05/2023,28.7,77,0.2,1.3,3
09/05/2023,29.7,75,3.1,6.9,3
10/05/2023,30.2,73,0,6.3,3
11/05/2023,29.6,79,0,8.3,3
12/05/2023,29.6,79,0,6.7,2
13/05/2023,30.2,76,,11.5,2
14/05/2023,30,77,0,9.9,2
15/05/2023,27.7,84,0.2,7.1,2
16/05/2023,25.3,94,44.6,5.3,2
17/05/2023,27.4,90,49.8,1.5,1
18/05/2023,29.2,79,34.4,5.3,2
19/05/2023,28.5,79,0,9,2
20/05/2023,29.4,78,0,5.1,3
21/05/2023,25.2,95,0,6.1,1
22/05/2023,29.1,80,15.8,0.4,2
23/05/2023,28,80,0,9.3,2
24/05/2023,29.9,72,0.5,,3
25/05/2023,30.1,75,0,5.5,3
26/05/2023,27.7,86,8888,5.7,2
27/05/2023,28.2,84,0.7,0,2
28/05/2023,28.2,82,1,3.6,3
29/05/2023,29,78,15.1,2.3,3
30/05/2023,28.8,80,0,7.8,3
31/05/2023,30,78,0.9,5,3
