Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-03-2018,24.8,31.5,27.9,80,0,8.7,9,60,3,NE
02-03-2018,25,31.3,28.1,79,0,8.3,6,60,4,NE
03-03-2018,25.4,31.9,27.9,79,0,4,7,60,2,NE
04-03-2018,24.8,32,28.6,78,,4.6,7,20,4,NE
05-03-2018,25.2,32,28.4,77,0,8.7,10,50,4,NE
06-03-2018,24.3,32.4,28.8,76,0,9.7,6,50,2,N 
07-03-2018,25.4,29.4,26.3,87,0,9.6,5,200,2,N 
08-03-2018,23.4,30.2,26.6,88,19.5,0.9,6,40,2,NE
09-03-2018,24.7,31.4,28.2,79,5.9,0,10,30,5,NE
10-03-2018,24,31.6,27.3,81,30.6,10.2,9,20,5,N 
11-03-2018,24.3,31.2,28,79,25,10.2,7,30,4,N 
12-03-2018,24.6,30.8,27.8,80,0,3.4,9,50,3,N 
13-03-2018,24.8,31.4,27.7,80,8888,0.5,7,50,3,NE
14-03-2018,24,31.5,28,77,0,4.5,9,50,4,NE
15-03-2018,23.8,32,28.6,76,0,9.8,6,50,3,NE
16-03-2018,,31.9,28.8,76,0,8.7,8,50,5,NE
17-03-2018,26.8,32,28.7,75,0,9.2,8,50,4,NE
18-03-2018,26.6,31.8,28.5,76,,9.2,8,50,4,NE
19-03-2018,24.8,31.5,28.8,74,0,9.4,7,20,4,NE
20-03-2018,20.2,32.2,28.4,76,0,9.2,7,40,3,NE
21-03-2018,25,33.2,28.7,76,0,8.9,6,40,2,N 
22-03-2018,25.6,32.2,29.1,73,0,7.1,8,50,5,NE
23-03-2018,26,32,28.5,73,0,,8,40,4,NE
24-03-2018,25.4,32.2,28.7,76,0,8,9,30,4,NE
25-03-2018,22.8,32,26.2,90,39.6,7.5,4,10,1,N 
26-03-2018,22.4,31.3,28,81,5.7,0.3,8,40,3,N 
27-03-2018,24,28.6,24.6,93,23.5,7.1,5,280,2,N 
28-03-2018,23.8,31.7,27.3,83,7.4,0,6,60,2,N 
29-03-2018,23,31,26.5,86,18.2,6.4,5,200,1,N 
30-03-2018,23.5,,26.6,86,30,3.7,6,40,1,N 
31-03-2018,24.1,32.3,28.7,79,1.6,3.6,6,30,3,N 
