Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2019,24.3,32.7,28.2,76,118.0,5.4,4,320,2,N 
02-01-2019,25.0,32.2,28.1,76,4.0,9.9,5,300,3,W 
03-01-2019,25.4,32.5,29.2,77,0.0,9.4,6,270,3,W 
04-01-2019,27.0,32.4,28.8,77,4.3,8.8,6,270,1,C 
05-01-2019,25.8,31.6,27.8,87,0.0,1.8,6,50,3,NE
06-01-2019,26.3,31.7,28.5,78,0.0,6.4,7,70,4,NE
07-01-2019,26.4,31.7,29.1,75,0.0,8.8,8,40,4,NE
08-01-2019,25.7,31.1,28.5,78,4.2,10.7,7,60,3,NE
09-01-2019,25.8,31.4,28.4,80,3.5,4.4,5,20,3,N 
10-01-2019,25.8,31.4,28.6,74,0.0,8.5,6,50,3,NE
11-01-2019,24.6,31.1,27.1,84,8.0,10.0,7,60,3,NE
12-01-2019,24.8,31.3,28.0,78,4.3,4.4,8,60,3,NE
13-01-2019,25.0,31.6,27.9,80,0.0,10.6,6,50,3,NE
14-01-2019,25.4,31.8,27.1,85,0.0,7.6,4,30,2,N 
15-01-2019,25.5,31.7,27.8,78,0.1,5.7,5,30,1,C 
16-01-2019,25.4,31.2,27.8,79,0.0,5.1,5,30,2,N 
17-01-2019,24.9,30.7,26.6,87,0.0,5.2,4,10,2,C 
18-01-2019,24.5,30.1,25.7,90,37.9,4.7,4,350,2,N 
19-01-2019,24.0,30.4,27.5,78,4.0,0.0,5,340,2,N 
20-01-2019,24.2,32.0,27.7,80,0.0,2.1,6,50,2,N 
21-01-2019,25.8,31.6,27.9,78,0.0,8.5,5,20,3,N 
22-01-2019,25.3,31.0,27.2,78,0.0,3.7,6,10,3,N 
23-01-2019,25.4,31.4,28.0,77,0.0,2.7,8,30,5,NE
24-01-2019,26.1,31.0,28.1,73,0.0,9.1,6,30,3,NE
25-01-2019,25.6,30.5,27.4,76,0.0,6.8,5,30,3,N 
26-01-2019,25.6,31.0,27.3,74,0.0,6.8,6,50,3,N 
27-01-2019,25.6,31.8,28.2,74,0.0,5.9,6,40,4,N 
28-01-2019,25.2,28.8,26.5,90,1.5,6.3,6,30,3,N 
29-01-2019,25.4,31.3,27.8,81,2.8,0.0,5,30,3,NE
30-01-2019,25.4,31.4,28.1,76,2.8,8.1,5,40,2,E 
31-01-2019,24.5,31.0,27.3,81,0.0,5.5,5,30,3,NE
01-02-2019,25.5,32.1,28.3,77,0.0,5.2,8,30,4,N 
02-02-2019,26.2,31.6,28.4,77,0.0,10.7,6,50,4,NE
03-02-2019,25.8,31.9,27.9,84,2.2,9.9,6,50,2,C 
04-02-2019,25.8,31.7,28.1,81,0.0,7.8,4,60,2,NE
05-02-2019,25.1,31.5,27.5,81,0.0,9.0,5,40,2,N 
06-02-2019,23.6,31.4,26.7,82,0.0,9.7,10,50,3,NE
07-02-2019,24.6,31.3,27.8,76,0.0,10.8,6,50,3,NE
08-02-2019,24.5,31.9,28.3,78,0.0,9.7,5,40,2,NE
09-02-2019,25.0,31.8,28.4,80,0.0,7.7,4,60,2,NE
10-02-2019,25.2,32.0,28.4,78,0.0,10.4,7,40,4,NE
11-02-2019,25.3,31.6,27.6,72,0.0,10.5,7,40,2,C 
12-02-2019,23.2,32.4,27.8,77,0.0,10.6,6,50,3,NE
13-02-2019,24.9,32.4,28.5,78,0.0,10.2,6,40,4,NE
14-02-2019,25.1,32.2,28.5,76,0.0,10.3,5,50,3,NE
15-02-2019,25.6,32.4,28.3,74,0.0,10.0,5,50,3,N 
16-02-2019,26.0,32.0,28.2,76,0.0,6.6,5,50,3,NE
17-02-2019,26.1,31.8,28.3,77,0.0,7.7,5,70,2,NE
18-02-2019,22.4,31.8,26.1,83,14.1,6.8,4,50,2,NE
19-02-2019,22.5,31.6,27.5,84,0.0,6.4,6,40,3,NE
20-02-2019,25.9,32.4,28.2,80,0.0,8.3,5,50,2,N 
21-02-2019,26.4,31.6,28.6,75,0.0,9.0,6,40,3,NE
