Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-02-2021,25.0,30.0,27.2,80,1.0,6.1,7,20,4,N 
02-02-2021,24.8,30.6,27.0,80,0.8,2.1,8,20,4,N 
03-02-2021,25.0,30.8,27.1,75,0.4,4.6,8,50,5,NE
04-02-2021,25.2,30.9,26.9,72,0.0,6.7,7,40,4,N 
05-02-2021,24.1,31.6,27.3,78,0.0,9.2,7,60,5,N 
06-02-2021,24.4,30.8,27.4,77,0.0,8.0,8,40,5,NE
07-02-2021,24.6,31.8,27.6,77,0.0,9.7,8,10,4,N 
08-02-2021,25.2,31.6,27.6,78,0.0,9.7,8,40,5,NE
09-02-2021,25.2,31.1,27.5,78,0.0,6.7,8,50,4,NE
10-02-2021,25.5,30.5,27.4,79,0.0,7.8,7,50,4,NE
11-02-2021,25.4,31.1,27.5,78,0.0,3.9,8,50,5,NE
12-02-2021,25.6,31.5,28.0,76,0.0,4.6,9,50,5,NE
13-02-2021,26.0,30.9,27.8,75,0.0,8.5,9,40,5,NE
14-02-2021,25.9,30.2,27.2,74,0.0,8.1,8,40,6,NE
15-02-2021,25.3,30.9,27.4,70,0.0,4.7,8,50,5,N 
16-02-2021,25.3,30.8,27.0,71,0.0,7.7,8,50,5,NE
17-02-2021,24.9,30.8,26.8,71,0.0,6.4,8,40,5,NE
18-02-2021,24.7,30.5,27.3,69,0.0,7.0,10,40,6,NE
19-02-2021,25.1,30.9,27.3,72,0.0,7.5,9,40,6,NE
20-02-2021,25.5,31.0,27.5,75,0.0,4.9,10,50,6,N 
21-02-2021,25.6,30.6,27.2,75,0.0,8.8,8,40,5,NE
22-02-2021,25.0,31.2,27.1,72,0.0,5.2,9,60,5,NE
23-02-2021,24.6,30.6,27.1,73,0.0,9.0,8,50,5,NE
24-02-2021,24.6,29.8,26.7,76,0.0,8.4,6,50,4,N 
25-02-2021,24.5,31.0,27.3,78,0.0,1.7,5,70,4,N 
26-02-2021,23.8,31.6,27.6,80,0.0,6.7,5,40,3,NE
27-02-2021,24.0,33.2,28.1,79,0.0,9.1,5,60,3,NE
28-02-2021,24.7,31.8,28.1,76,0.0,8.8,5,50,4,NE
