Date,Tavg,RH_avg,RR,ss,ff_avg
01/05/2020,27.1,90,41.9,0.3,2
02/05/2020,28.0,86,2.6,0.3,1
03/05/2020,28.1,88,6.3,2.2,1
04/05/2020,28.4,89,19.5,2.9,1
05/05/2020,28.4,84,36.4,2.9,1
06/05/2020,28.3,86,25.7,6.4,2
07/05/2020,28.8,86,0.1,3.4,2
08/05/2020,28.3,80,4.3,7.6,3
09/05/2020,29.8,78,0.0,4.5,3
10/05/2020,29.8,82,0.0,10.4,3
11/05/2020,29.7,82,0.0,2.7,2
12/05/2020,28.9,85,24.0,1.5,2
13/05/2020,26.5,86,7.4,4.4,2
14/05/2020,28.6,81,1.6,1.5,2
15/05/2020,29.2,82,0.0,8.4,2
16/05/2020,29.1,82,3.0,7.2,2
17/05/2020,27.9,89,1.2,6.5,2
18/05/2020,28.6,84,98.7,4.5,2
19/05/2020,29.4,85,98.7,5.1,2
20/05/2020,28.4,79,0.0,5.9,2
21/05/2020,28.7,81,3.7,2.2,1
22/05/2020,28.6,84,0.0,6.5,2
23/05/2020,27.2,86,6.7,1.6,1
24/05/2020,28.3,86,0.2,0.4,2
25/05/2020,29.4,82,0.2,2.0,2
26/05/2020,29.2,77,0.2,7.4,1
27/05/2020,27.3,89,115.2,5.8,1
28/05/2020,29.0,84,115.2,0.0,2
29/05/2020,28.7,83,0.0,2.2,1
30/05/2020,28.9,83,0.0,6.4,2
31/05/2020,28.6,82,0.0,7.4,1
