Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-11-2019,25,32.4,28.2,77,0,0.8,3,190,1,C 
02-11-2019,24,33.6,28.2,81,0,3.8,2,180,0,C 
03-11-2019,25,32,27.7,76,,7.6,3,240,0,C 
04-11-2019,24,32.2,27.8,82,,1,2,260,0,C 
05-11-2019,25,31,26.2,92,19.5,5.4,3,30,0,C 
06-11-2019,24,32.8,28.3,83,8888,1.4,4,200,1,S 
07-11-2019,24,34.2,29.7,79,0,7.5,2,160,1,C 
08-11-2019,26,31,28.1,76,0,7.2,5,270,1,C 
09-11-2019,25,32.9,28.8,79,0,0.7,3,320,1,C 
10-11-2019,24,34.2,28.8,75,0,4.9,2,330,0,C 
11-11-2019,25,32.8,28,83,0,7,3,220,1,C 
12-11-2019,25,32.3,27.7,86,0,4.4,2,180,0,C 
13-11-2019,25,33.2,28.5,82,0,1,5,50,1,C 
14-11-2019,24,31.5,27.2,85,5,6,3,60,1,C 
15-11-2019,25,30.8,27.4,85,12.5,1.3,2,330,0,C 
16-11-2019,,32.4,28.4,82,8888,2.5,3,50,1,C 
17-11-2019,,33.4,28.2,81,0,6.4,4,80,1,C 
18-11-2019,25,32.6,28.8,79,0,6.3,3,40,2,NE
19-11-2019,26,32.5,28.3,82,0,6.9,4,50,1,C 
20-11-2019,26,29.2,26.2,93,0.5,0.8,3,40,1,C 
21-11-2019,24,29.4,26,90,37.9,0,3,20,1,C 
22-11-2019,25,31.6,27.7,84,1.4,1.5,3,350,1,C 
23-11-2019,25,29,26.4,91,0,6.3,3,360,1,C 
24-11-2019,25,31.9,27.3,86,1.2,0,3,50,1,C 
25-11-2019,,32,28.1,84,0.6,6.9,3,60,1,C 
26-11-2019,,32.2,28.6,80,13,7.4,4,40,1,C 
27-11-2019,,30.2,26.7,91,0,10.4,3,60,1,C 
28-11-2019,25,32,28.2,84,17.4,2.2,4,40,1,NE
29-11-2019,26,31.9,26.5,92,0,6.6,3,50,1,C 
30-11-2019,25,32,28.3,84,8888,3.4,3,10,1,C 
