Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-08-2015,25.1,29.4,26.5,84,0.4,6.3,7,180,2,N 
02-08-2015,24.4,31.8,28.6,78,0.0,6.3,10,170,4,SE
03-08-2015,25.3,28.8,25.0,90,0.0,8.8,5,330,2,N 
04-08-2015,23.2,31.6,26.7,84,45.3,0.0,6,190,2,N 
05-08-2015,24.7,32.0,27.9,81,0.8,3.9,7,130,3,SE
06-08-2015,24.6,30.8,26.2,90,0.8,6.8,5,160,2,N 
07-08-2015,24.6,30.0,26.9,89,17.6,3.5,9,190,3,S 
08-08-2015,24.9,32.0,27.5,83,4.8,2.6,6,160,3,SE
09-08-2015,23.0,31.5,27.3,86,12.9,2.4,5,140,3,E 
10-08-2015,23.8,32.1,29.1,78,5.4,0.8,9,140,5,SE
11-08-2015,24.1,32.8,28.5,82,0.0,9.3,6,150,3,N 
12-08-2015,23.8,31.0,25.4,94,46.0,5.6,4,170,1,N 
13-08-2015,23.6,31.5,28.9,74,10.8,0.0,7,130,2,N 
14-08-2015,24.6,31.3,28.3,82,10.8,5.3,6,120,2,SE
15-08-2015,25.5,31.6,27.7,85,2.0,9.4,6,130,3,E 
16-08-2015,25.6,31.8,28.9,74,2.0,4.5,8,120,3,SE
17-08-2015,24.8,31.4,28.9,74,1.2,6.0,8,180,3,SE
18-08-2015,24.8,32.0,28.9,74,1.2,5.6,7,110,3,SE
19-08-2015,24.9,32.6,28.9,74,1.2,9.8,7,190,3,S 
20-08-2015,25.0,32.6,28.9,74,0.0,10.2,6,200,3,SE
21-08-2015,25.8,31.6,28.9,74,0.0,9.0,6,200,2,N 
22-08-2015,25.6,31.8,28.9,74,12.0,1.2,9,170,4,SE
23-08-2015,26.6,31.6,28.9,74,0.0,4.3,9,140,6,SE
24-08-2015,27.1,31.4,28.5,77,0.0,7.4,7,150,4,SE
25-08-2015,26.7,31.4,28.9,74,0.0,4.4,7,130,4,SE
26-08-2015,27.0,31.5,28.9,74,0.0,3.4,7,150,4,SE
27-08-2015,26.4,32.2,28.9,74,0.0,0.9,7,160,4,SE
28-08-2015,26.2,32.4,28.9,74,0.0,2.6,6,120,3,SE
29-08-2015,26.2,32.4,28.9,74,2.1,4.3,7,130,4,SE
30-08-2015,26.8,32.4,28.9,74,2.1,9.2,9,140,5,SE
31-08-2015,26.7,32.4,28.9,74,0.0,10.2,9,150,5,SE
