Date,Tavg,RH_avg,RR,ss,ff_avg
01/05/2022,28.8,86,1.3,3.8,2
02/05/2022,27.6,85,1.3,2.0,4
03/05/2022,26.8,86,28.9,0.0,2
04/05/2022,27.7,84,2.7,5.6,2
05/05/2022,28.3,87,3.6,0.0,2
06/05/2022,29.0,81,0.3,3.1,2
07/05/2022,27.5,94,0.3,8.7,2
08/05/2022,27.4,88,16.8,3.4,3
09/05/2022,29.9,81,0.2,2.1,4
10/05/2022,30.0,82,0.0,8.4,3
11/05/2022,27.0,88,0.0,10.1,1
12/05/2022,29.3,77,2.7,0.0,3
13/05/2022,29.1,82,0.0,10.9,3
14/05/2022,29.8,82,0.0,6.8,2
15/05/2022,29.3,84,0.0,7.8,2
16/05/2022,28.2,83,13.5,7.9,2
17/05/2022,29.3,81,13.5,4.4,2
18/05/2022,29.7,79,0.0,10.0,2
19/05/2022,27.7,91,0.0,8.5,1
20/05/2022,26.2,92,30.0,1.7,1
21/05/2022,28.2,87,18.0,2.1,2
22/05/2022,29.4,79,0.0,6.8,2
23/05/2022,29.5,83,0.0,9.6,2
24/05/2022,29.6,82,18.5,6.6,2
25/05/2022,28.1,86,0.7,5.3,2
26/05/2022,28.4,79,12.6,5.2,2
27/05/2022,29.0,80,0.0,5.2,2
28/05/2022,28.3,74,2.7,7.1,2
29/05/2022,29.5,76,0.0,6.3,2
30/05/2022,29.5,78,0.0,10.1,2
31/05/2022,29.1,82,0.0,7.9,1
