Date,Tavg,RH_avg,RR,ss,ff_avg
01/07/2020,27.5,87,42.1,6.9,2
02/07/2020,28.2,83,0.3,4.6,3
03/07/2020,28.9,80,0,4.8,3
04/07/2020,28.7,82,,7.9,2
05/07/2020,27.2,87,1,7.8,1
06/07/2020,29.3,76,8888,4.3,3
07/07/2020,27,86,8888,8.2,2
08/07/2020,25.8,93,8888,2.8,2
09/07/2020,26,92,47.3,,3
10/07/2020,27.2,84,7,0.1,1
11/07/2020,26.4,90,0.2,2.3,2
12/07/2020,27.8,84,2,2.1,2
13/07/2020,26.2,92,0,8.9,2
14/07/2020,25.7,90,31,2.7,2
15/07/2020,27.3,87,8.8,0.3,3
16/07/2020,28.1,84,8888,4,2
17/07/2020,28.4,81,8888,8.9,2
18/07/2020,26.7,88,8888,8.5,1
19/07/2020,28,83,2.6,2.6,2
20/07/2020,28.2,78,0,10.7,2
21/07/2020,28.5,78,,9.9,2
22/07/2020,27.6,84,,6.2,2
23/07/2020,27.3,85,2.8,4.6,1
24/07/2020,27.5,82,0,7,2
25/07/2020,26.2,96,4.5,3.7,2
26/07/2020,26.6,89,14.4,4.7,3
27/07/2020,27.6,82,2.8,2.2,2
28/07/2020,27.6,86,8.3,2.3,2
29/07/2020,25.8,92,14.3,2.4,1
30/07/2020,27.7,84,24.2,,3
31/07/2020,27.9,82,,8.2,3
